artist,avg_popularity,unique_tracks,penalty,adjusted_popularity,normalized_popularity,lineup_tier
Bonnie Tyler,0.24055409,1,0.047619048,0.011454957,0.075468576,Support
Camila Cabello,0.237610026,1,0.047619048,0.011314763,0.07454372,Support
Rockwell,0.237457784,1,0.047619048,0.011307514,0.074495895,Support
Zac Brown Band,0.235403694,1,0.047619048,0.0112097,0.073850618,Support
Talking Heads,0.234184697,1,0.047619048,0.011151652,0.073467679,Support
"Bobby ""Boris"" Pickett",0.233980871,1,0.047619048,0.011141946,0.073403648,Support
The Crypt-Kickers,0.233980871,1,0.047619048,0.011141946,0.073403648,Support
Jeezy,0.231369393,1,0.047619048,0.01101759,0.072583272,Support
Blue Öyster Cult,0.231036939,1,0.047619048,0.011001759,0.072478834,Support
G3 GELO,0.230872032,1,0.047619048,0.010993906,0.07242703,Support
Rick James,0.228591029,1,0.047619048,0.010885287,0.07171047,Support
Don McLean,0.22851715,1,0.047619048,0.010881769,0.071687262,Support
Nonna,0.119018799,2,0.090909091,0.010819891,0.071279051,Support
Kenny Chesney,0.227091029,1,0.047619048,0.010813859,0.071239256,Support
KSI,0.225221636,1,0.047619048,0.01072484,0.070652,Support
Trippie Redd,0.225221636,1,0.047619048,0.01072484,0.070652,Support
Ari Lennox,0.222324538,1,0.047619048,0.010586883,0.069741899,Support
Gucci Mane,0.222324538,1,0.047619048,0.010586883,0.069741899,Support
Young Dro,0.222324538,1,0.047619048,0.010586883,0.069741899,Support
Linda Martell,0.221691293,1,0.047619048,0.010556728,0.069542969,Support
Ray Parker Jr.,0.220333113,1,0.047619048,0.010492053,0.069116308,Support
Dropkick Murphys,0.219110818,1,0.047619048,0.010433848,0.068732333,Support
Cam'ron,0.218733509,1,0.047619048,0.010415881,0.068613804,Support
Mustard,0.218001885,1,0.047619048,0.010381042,0.06838397,Support
Tim McGraw,0.21607991,1,0.047619048,0.01028952,0.067780195,Support
Tom Petty and the Heartbreakers,0.21514248,1,0.047619048,0.01024488,0.067485709,Support
Katy Perry,0.214994723,1,0.047619048,0.010237844,0.067439292,Support
Ab-Soul,0.207960422,1,0.047619048,0.009902877,0.065229519,Support
Daylyt,0.207960422,1,0.047619048,0.009902877,0.065229519,Support
Blessd,0.207147757,1,0.047619048,0.009864179,0.064974227,Support
DFZM,0.207147757,1,0.047619048,0.009864179,0.064974227,Support
J Balvin,0.207147757,1,0.047619048,0.009864179,0.064974227,Support
Maluma,0.207147757,1,0.047619048,0.009864179,0.064974227,Support
Ovy On The Drums,0.207147757,1,0.047619048,0.009864179,0.064974227,Support
Ryan Castro,0.207147757,1,0.047619048,0.009864179,0.064974227,Support
Twenty One Pilots,0.207110818,1,0.047619048,0.00986242,0.064962622,Support
Justin Timberlake,0.204997361,1,0.047619048,0.009761779,0.064298696,Support
Cardi B,0.107037269,2,0.090909091,0.009730661,0.064093409,Support
41,0.20245139,1,0.047619048,0.009640542,0.063498898,Support
Kyle Richh,0.20245139,1,0.047619048,0.009640542,0.063498898,Support
RM,0.200273087,1,0.047619048,0.009536814,0.0628146,Support
The Citizens of Halloween,0.199344327,1,0.047619048,0.009492587,0.062522837,Support
Big Time Rush,0.195664908,1,0.047619048,0.009317377,0.061366975,Support
Jon Hopkins,0.195147757,1,0.047619048,0.00929275,0.061204516,Support
The 1975,0.195147757,1,0.047619048,0.00929275,0.061204516,Support
