spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,primary_artist,normalized_rank,popularity_index,cluster,tsne1,tsne2,tsne_distance,is_outlier
0XkZmBCCcdMY0EPY8ij6Gb,Slim Pickins,Sabrina Carpenter,46,-5,-21,US,2024-09-08,85,False,152195,Short n' Sweet,2024-08-23,0.619,0.542,2,-8.681,1,0.0529,0.288,0.0,0.151,0.308,99.824,4,Sabrina Carpenter,0.1,0.2543609828496042,1,-26.469204,13.410545,37.594666,True
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,46,2,-12,US,2024-08-23,92,False,179586,HIT ME HARD AND SOFT,2024-05-17,0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,4,Billie Eilish,0.1,0.3867233807132522,1,8.1033125,-37.17057,30.19973,True
5W4kiM2cUYBJXKRudNyxjW,You Proof,Morgan Wallen,45,0,3,US,2024-08-12,83,False,157477,One Thing At A Time,2023-03-03,0.728,0.818,9,-5.068,1,0.0329,0.323,0.0,0.582,0.681,119.706,4,Morgan Wallen,0.12,0.2933710845003721,1,35.273087,6.9035025,33.350048,True
5b3XJ1pjrHO5JtY2PcTjnI,Mamushi (feat. Yuki Chiba),"Megan Thee Stallion, 千葉雄喜",50,-2,-11,US,2024-08-12,88,True,156988,MEGAN,2024-06-28,0.892,0.531,1,-4.968,1,0.207,0.033,0.0,0.0824,0.209,81.036,4,Megan Thee Stallion,0.02,0.2699510484654909,1,6.098012,23.121086,30.269104,True
1CDQzbCz4KSQxHe7LMEgRM,Houdini,Eminem,46,-4,-15,US,2024-08-03,84,True,227032,The Death of Slim Shady (Coup De Grâce),2024-07-12,0.936,0.878,9,-2.798,0,0.0723,0.0283,2.31e-06,0.0689,0.902,126.992,4,Eminem,0.1,0.2536862556968098,1,16.843105,-34.6025,29.91019,True
6jlG8gBPNAgBgoivw2Ig09,DEVIL IS A LIE,Tommy Richman,50,-1,-14,US,2024-08-03,88,True,130944,DEVIL IS A LIE,2024-06-14,0.904,0.452,9,-7.272,1,0.132,0.174,0.0,0.115,0.613,90.026,4,Tommy Richman,0.02,0.2926299893336327,1,27.88322,-28.97269,31.621792,True
2HYFX63wP3otVIvopRS99Z,Houdini,Eminem,29,1,19,US,2024-07-12,94,True,227239,Houdini,2024-05-31,0.936,0.887,9,-2.76,0,0.0683,0.0292,1.88e-06,0.0582,0.889,127.003,4,Eminem,0.44,0.3193279306445533,1,17.090412,-34.645363,30.048065,True
38vhXqp4YdfkDvqkZdLBp0,Memphis; The Blues (feat. John Moreland),"Zach Bryan, John Moreland",46,0,4,US,2024-07-06,63,True,189880,The Great American Bar Scene,2024-07-04,0.558,0.579,4,-7.161,1,0.0531,0.326,0.000398,0.157,0.365,78.131,4,Zach Bryan,0.1,0.0948693931398416,1,-23.420279,15.706504,36.472343,True
7iabz12vAuVQYyekFIWJxD,BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",50,-2,-14,US,2024-06-30,90,True,140733,BAND4BAND (feat. Lil Baby),2024-05-23,0.882,0.764,11,-5.241,1,0.204,0.359,0.0,0.119,0.886,140.113,4,Central Cee,0.02,0.2932921221258951,1,22.085487,-36.038612,33.571568,True
1LLUoftvmTjVNBHZoQyveF,THE DINER,Billie Eilish,42,0,-19,US,2024-05-31,88,False,186346,HIT ME HARD AND SOFT,2024-05-17,0.857,0.386,1,-9.761,1,0.168,0.243,0.0931,0.111,0.661,125.017,4,Billie Eilish,0.18,0.2609758763663777,1,28.783758,-30.704567,33.475224,True
3Vevii7qKqrmW8CcyzBHDl,"So Long, London",Taylor Swift,48,-1,-24,US,2024-05-24,85,False,262974,THE TORTURED POETS DEPARTMENT,2024-04-18,0.423,0.533,9,-11.388,1,0.322,0.73,0.00264,0.0816,0.248,160.218,4,Taylor Swift,0.06,0.288174142480211,2,-1.0445496,36.562794,51.439793,True
5og4Qzt92jJzVDkOtSEilb,But Daddy I Love Him,Taylor Swift,44,1,-21,US,2024-05-22,84,True,340428,THE TORTURED POETS DEPARTMENT,2024-04-18,0.521,0.72,4,-7.684,1,0.104,0.384,0.0,0.135,0.438,79.943,4,Taylor Swift,0.14,0.2728691656810117,1,-21.174402,15.745167,34.775017,True
3NMrVbIVWT3fPXBj0rNDKG,The Tortured Poets Department,Taylor Swift,45,-8,-13,US,2024-05-17,84,True,293048,THE TORTURED POETS DEPARTMENT,2024-04-18,0.604,0.428,0,-8.441,1,0.0255,0.0483,0.0,0.126,0.292,110.259,4,Taylor Swift,0.12,0.2676068601583113,1,-28.066744,14.324748,39.43232,True
3eh51r6rFWAlGQRlHx9QnQ,Push Ups,Drake,49,-9,-33,US,2024-05-17,91,True,232774,Push Ups,2024-04-19,0.598,0.696,2,-4.789,1,0.112,0.0153,0.0,0.219,0.209,91.057,4,Drake,0.04,0.2930017207754961,1,-23.826231,22.02243,41.010113,True
3lMzT16MjAKKXF7pSZn13B,Tell Ur Girlfriend,Lay Bankz,48,2,-15,US,2024-05-13,91,True,124444,Tell Ur Girlfriend,2024-02-07,0.866,0.741,7,-4.66,1,0.245,0.0933,0.0,0.0297,0.614,135.07,4,Lay Bankz,0.06,0.2783392385978138,1,20.43423,18.37086,29.797085,True
0mWVScJbxO3tbXuiZOxYZE,"So Long, London",Taylor Swift,4,46,46,US,2024-04-20,0,False,262974,THE TORTURED POETS DEPARTMENT,2024-04-18,0.488,0.545,9,-11.388,1,0.317,0.73,0.0046,0.0832,0.301,160.096,4,Taylor Swift,0.94,0.0017361477572559,2,-0.86919,36.60432,51.583057,True
